alpha,attack_risk,beta,sigma_direct_pld
0.01,0.1,0.85,1.4221606445312496
0.01,0.3,0.6499999999999999,1.0032684326171872
0.01,0.5,0.44999999999999996,0.835589599609375
0.01,0.7,0.25,0.7160803222656249
0.01,0.9,0.04999999999999993,0.5764495849609373
0.05,0.1,0.85,3.433087158203125
0.05,0.3,0.6499999999999999,1.4386236572265623
0.05,0.5,0.44999999999999996,1.0654620361328124
0.05,0.7,0.25,0.8569305419921874
0.05,0.9,0.04999999999999993,0.652667236328125
0.1,0.1,0.85,9.999390258789063
0.1,0.3,0.6499999999999999,2.0343408203125
0.1,0.5,0.44999999999999996,1.2910662841796872
0.1,0.7,0.25,0.9733911132812498
0.1,0.9,0.04999999999999993,0.7142510986328124
